index,name,gender,label
240,peer kr?ger,none,2
241,tie-yan liu,none,0
242,graham cormode,m,2
243,sheng ma,none,2
244,xuemin lin,none,0
245,ronen i. brafman,m,0
246,martin l. kersten,m,1
247,jieping ye,none,0
248,oren etzioni,m,0
249,david jensen,none,2
250,jignesh m. patel,m,0
251,jeffrey s. rosenschein,m,3
252,anastassia ailamaki,f,0
253,ben kao,none,2
254,ron kohavi,m,0
255,spiros papadimitriou,m,2
256,thomas hofmann,none,0
257,dirk van gucht,m,1
258,susan b. davidson,f,0
259,michail vlachos,m,2
260,doina precup,f,0
261,satinder p. singh,f,3
262,boi faltings,none,3
263,gustavo alonso,m,1
264,leonid libkin,m,0
265,edward a. fox,none,0
266,goetz graefe,none,0
267,peter buneman,m,0
268,yannis kotidis,m,0
269,charles elkan,m,0
270,vijayshankar raman,none,0
271,bruce g. lindsay,m,0
272,javed a. aslam,m,0
273,geoffrey i. webb,m,0
274,alistair moffat,m,4
275,sebastian thrun,m,0
276,jian-yun nie,none,0
277,sarit kraus,f,0
278,oded shmueli,m,1
279,christoph koch,m,0
280,prabhakar raghavan,m,0
281,wen-syan li,none,1
282,george kollios,none,0
283,chee yong chan,none,0
284,balakrishna r. iyer,m,0
285,osmar r. za?ane,none,2
286,jinyan li,none,0
287,christos h. papadimitriou,m,0
288,shlomo zilberstein,m,0
289,phokion g. kolaitis,m,0
290,r. bharat rao,none,0
291,ouri wolfson,none,1
292,paolo atzeni,m,0
293,vanja josifovski,f,0
294,benjamin kuipers,none,0
295,ravi krishnamurthy,none,1
296,pang-ning tan,none,0
297,james t. kwok,m,3
298,thomas eiter,none,0
299,sunil prabhakar,m,1
300,daniel barbar¨¢,none,0
301,ming-chien shan,none,1
302,jan van den bussche,m,1
303,hua-jun zeng,none,0
304,richard t. snodgrass,none,0
305,witold litwin,m,0
306,howard j. hamilton,m,2
307,thomas seidl,none,0
308,dale schuurmans,none,0
309,karl aberer,m,0
310,wang-chien lee,none,1
311,kyu-young whang,none,1
312,kun-lung wu,none,1
313,jianwen su,none,0
314,dou shen,none,0
315,abdur chowdhury,m,4
316,edward y. chang,none,0
317,michael i. jordan,m,3
318,lise getoor,f,2
319,phillip b. gibbons,none,1
320,cyrus shahabi,m,1
321,shashi shekhar,m,0
322,z. meral ?zsoyoglu,none,0
323,giuseppe de giacomo,m,0
324,berthier a. ribeiro-neto,m,0
325,eugene j. shekita,none,1
326,hendrik blockeel,m,0
327,usama m. fayyad,m,2
328,brian c. williams,none,0
329,johan de kleer,m,0
330,marianne winslett,f,1
331,john mylopoulos,none,0
332,ioana manolescu,f,0
333,paul r. cohen,none,0
334,wolfgang lehner,m,0
335,juliana freire,f,0
336,larry a. rendell,m,3
337,rich caruana,m,0
338,alan f. smeaton,none,4
339,praveen seshadri,m,0
340,lei chen 0002,none,1
341,moshe tennenholtz,m,3
342,pascal van hentenryck,m,0
343,gultekin ?zsoyoglu,none,1
344,arnon rosenthal,m,0
345,sridhar mahadevan,m,3
346,philip bohannon,m,1
347,eric horvitz,none,0
348,nathan goodman,m,0
349,edward omiecinski,none,0
350,shree k. nayar,m,0
351,gui-rong xue,none,4
352,eugene agichtein,none,0
353,inderpal singh mumick,m,1
354,edmund h. durfee,m,0
355,takashi washio,m,0
356,adnan darwiche,m,3
357,fabio casati,m,1
358,peter scheuermann,m,0
359,ricardo a. baeza-yates,m,0
360,steven minton,m,0
361,venkatesh ganti,m,0
362,saburo tsuji,m,0
363,chen li,none,0
364,michalis vazirgiannis,m,2
365,michael h. bowling,m,3
366,raghav kaushik,m,0
367,calton pu,none,1
368,arno siebes,m,2
369,amol deshpande,m,0
370,ryen w. white,m,4
371,eyal amir,m,3
372,yi zhang,none,4
373,meichun hsu,f,1
374,j?rg sander,none,0
375,richard r. muntz,none,0
376,leslie pack kaelbling,f,3
377,alexander tuzhilin,m,2
378,inderjit s. dhillon,m,2
379,chris buckley,m,4
380,manuela m. veloso,f,3
381,sudipto guha,m,2
382,prasad tadepalli,m,3
383,tok wang ling,none,0
384,laura m. haas,f,1
385,ian ruthven,none,4
386,junghoo cho,none,4
387,luo si,none,4
388,kurt konolige,m,0
389,daniel a. keim,none,0
390,sharma chakravarthy,f,1
391,kai yu,none,4
392,stefan wrobel,m,0
393,tu bao ho,none,0
394,vagelis hristidis,m,0
395,mohamed f. mokbel,m,0
396,sholom m. weiss,m,3
397,qiong luo,none,0
398,eric simon,none,0
399,sourav s. bhowmick,m,2
400,eibe frank,none,0
401,dik lun lee,none,0
402,james p. delgrande,m,0
403,andrew g. barto,none,3
404,thomas dean,none,0
405,j¨¦r?me sim¨¦on,none,0
406,tim oates,none,0
407,chris jermaine,m,0
408,bernhard sch?lkopf,none,0
409,nicholas j. belkin,m,0
410,gao cong,none,2
411,milind tambe,m,3
412,sushil jajodia,m,0
413,limsoon wong,none,0
414,c. j. van rijsbergen,m,0
415,betty salzberg,f,0
416,chitta baral,none,3
417,fei wang,none,3
418,shivnath babu,m,1
419,diego calvanese,m,1
420,carlotta domeniconi,f,0
421,haym hirsh,none,0
422,benyu zhang,none,4
423,ian horrocks,none,3
424,prasenjit mitra,m,0
425,chris clifton,m,2
426,vassilis j. tsotras,m,0
427,jonathan schaeffer,m,0
428,john langford,none,0
429,gerhard widmer,m,0
430,mich¨¨le sebag,none,3
431,nicolas spyratos,none,0
432,matthias schubert,m,2
433,eugene c. freuder,none,3
434,hannu toivonen,m,2
435,arie shoshani,m,1
436,douglas w. oard,m,0
437,hiroaki kitano,m,0
438,randall davis,m,3
439,dong xin,none,0
440,glenn fung,m,0
441,robert e. schapire,none,0
442,wee sun lee,none,4
443,wesley w. chu,none,0
444,deng cai,none,0
445,bernhard pfahringer,m,2
446,paul s. rosenbloom,none,0
447,edwina l. rissland,f,0
448,ian davidson,none,2
449,ivan bratko,m,0
450,donghui zhang,none,1
451,xiaofeng he,none,0
452,jagannathan srinivasan,m,0
453,john shawe-taylor,none,3
454,j¨¦r?me lang,none,0
455,ugur ?etintemel,none,0
456,david wai-lok cheung,none,0
457,gerard salton,m,4
458,rohini k. srihari,f,0
459,kathleen mckeown,f,3
460,hanan samet,f,0
461,stefan kramer,m,0
462,jure leskovec,m,0
463,sriram padmanabhan,m,0
464,lucian popa,m,1
465,ihab f. ilyas,m,0
466,jian-tao sun,none,0
467,john e. laird,none,3
468,i. v. ramakrishnan,f,4
469,bruce g. buchanan,m,3
470,arbee l. p. chen,none,1
471,hong cheng,none,2
472,georg lausen,m,0
473,klemens b?hm,none,0
474,stavros christodoulakis,m,1
475,john p. mcdermott,none,3
476,ashraf aboulnaga,m,1
477,xiaoou tang,none,3
478,michael p. wellman,m,3
479,david w. aha,none,3
480,richard s. sutton,none,0
481,klaus r. dittrich,m,0
482,peter a. flach,m,0
483,naoki abe,m,2
484,fran?ois bancilhon,none,0
485,kenneth salem,m,1
486,alin deutsch,none,0
487,peter widmayer,m,0
488,xiaohua hu,none,0
489,ning zhong,none,0
490,joydeep ghosh,m,0
491,avi pfeffer,m,0
492,eugene charniak,none,3
493,timothy w. finin,m,3
494,munindar p. singh,m,3
495,foster j. provost,m,0
496,alex pentland,none,3
497,dit-yan yeung,m,0
498,vijay v. raghavan,m,0
499,hillol kargupta,m,0
500,robert c. holte,none,3
501,fahiem bacchus,none,0
502,kevin s. beyer,none,1
503,alexander g. hauptmann,m,0
504,michael r. genesereth,m,0
505,peter m. g. apers,m,1
506,boualem benatallah,m,0
507,matthias jarke,m,0
508,fabio crestani,m,4
509,il-yeol song,none,1
510,jan o. pedersen,m,0
511,jos¨¦ a. blakeley,none,1
512,s. seshadri,none,0
513,michael h. b?hlen,none,0
514,alexey pryakhin,m,2
515,michael kifer,m,1
516,panos k. chrysanthis,m,1
517,jimeng sun,none,2
518,ellen m. voorhees,f,0
519,makoto yokoo,m,0
520,reid g. simmons,m,0
521,dennis tsichritzis,m,0
522,aidong zhang,none,2
523,ramez elmasri,m,0
524,henri prade,m,3
525,xingquan zhu,none,0
526,domenico sacc¨¤,none,0
527,torsten suel,m,0
528,jan chomicki,m,0
529,c¨¦sar a. galindo-legaria,none,1
530,john d. lafferty,none,0
531,philippe pucheral,m,1
532,yossi matias,m,0
533,jinbo bi,none,0
534,arie segev,m,0
535,frank neven,m,0
536,alan fern,none,0
537,stephen e. robertson,none,0
538,xiaofei he,none,4
539,david a. grossman,none,0
540,shahram ghandeharizadeh,m,0
541,vladimir lifschitz,m,0
542,yi chen,none,1
543,erich j. neuhold,m,1
544,weiguo fan,none,4
545,fangzhen lin,none,0
546,john r. kender,none,0
547,anthony tomasic,none,0
548,gang luo,none,0
549,mariano p. consens,m,1
550,jon m. kleinberg,none,0
551,roberto j. bayardo jr.,m,0
552,barry o'sullivan,m,3
553,yannis theodoridis,m,1
554,pierre marquis,m,0
555,kai ming ting,none,0
556,risto miikkulainen,m,0
557,inderpal narang,m,0
558,luc bouganim,m,0
559,carla e. brodley,f,0
560,stan matwin,m,0
561,lawrence j. henschen,m,0
562,paris c. kanellakis,f,0
563,louiqa raschid,none,1
564,matthew l. ginsberg,m,3
565,steve lawrence,m,0
566,sumit ganguly,m,0
567,john yen,none,0
568,ruoming jin,none,0
569,alexander borgida,m,0
570,wang chiew tan,none,0
571,carlos guestrin,m,0
572,bernhard mitschang,m,0
573,shie mannor,none,0
574,qing li,none,0
575,victor m. markowitz,m,0
576,david d. lewis,none,4
577,stephen f. smith,none,0
578,ljupco todorovski,m,0
579,erhard rahm,m,0
580,einoshin suzuki,none,0
581,jerry kiernan,m,1
582,volker tresp,m,0
583,jack mostow,m,3
584,dennis f. kibler,m,3
585,riccardo rosati,m,0
586,yiyu yao,none,2
587,saharon rosset,none,2
588,patrick gallinari,m,0
589,honghua dai,none,0
590,deepayan chakrabarti,none,0
591,mukesh k. mohania,m,1
592,eric a. hansen,none,0
593,mehran sahami,m,3
594,marcos andr¨¦ gon?alves,none,4
595,kien a. hua,none,0
596,masatoshi yoshikawa,m,1
597,yoram singer,m,3
598,arun n. swami,m,1
599,amarnath gupta,m,0
600,shaul markovitch,m,0
601,peter triantafillou,m,0
602,eric p. xing,none,0
603,man lung yiu,none,1
604,sven koenig,m,0
605,ashish gupta,m,1
606,alexandros biliris,m,0
607,yuchang lu,none,0
608,djoerd hiemstra,none,4
609,nicholas kushmerick,m,0
610,nicholas r. jennings,m,0
611,zhongfei (mark) zhang,none,0
612,yorick wilks,m,0
613,yahiko kambayashi,f,0
614,allen newell,none,0
615,bianca zadrozny,f,0
616,richard nock,none,0
617,jian zhang,none,0
618,bo zhang,none,0
619,james a. hendler,m,3
620,nicolas bruno,none,0
621,trevor darrell,m,0
622,mary f. fern¨¢ndez,none,0
623,arjen p. de vries,m,4
624,yuri breitbart,none,0
625,prasan roy,none,1
626,wen jin,none,2
627,mitsunori ogihara,none,0
628,mirek riedewald,m,1
629,mitch cherniack,m,0
630,pietro perona,m,0
631,xin li,none,0
632,douglas stott parker jr.,m,0
633,sridhar ramaswamy,m,0
634,arindam banerjee,m,0
635,lee-feng chien,m,0
636,b. chandrasekaran,none,0
637,michael g. dyer,m,0
638,craig macdonald,m,4
639,ricardo vilalta,m,0
640,ah-hwee tan,none,0
641,gordon v. cormack,m,0
642,frederick h. lochovsky,m,0
643,giansalvatore mecca,none,1
644,xiaofang zhou,none,0
645,yun chi,none,0
646,michael rabinovich,m,0
647,stuart c. shapiro,m,0
648,floris geerts,m,1
649,keki b. irani,f,0
650,hakan ferhatosmanoglu,m,0
651,tetsuya sakai,m,0
652,viswanath poosala,m,1
653,marc gyssens,m,0
654,reynold cheng,none,0
655,john tait,none,0
656,xiaolei li,none,0
657,sergey melnik,m,0
658,d. sivakumar,m,0
659,g?sta grahne,none,0
660,lei zhang,none,4
661,ralf schenkel,m,4
662,wolfram burgard,m,0
663,david m. pennock,none,0
664,marius pasca,m,0
665,andrew turpin,none,0
666,jun yan,none,2
667,leif azzopardi,m,0
668,fosca giannotti,f,0
669,mitsuru ishizuka,m,0
670,dieter fox,none,0
671,panayiotis tsaparas,m,0
672,shenghuo zhu,none,4
673,arthur m. keller,m,0
674,gregory dudek,m,3
675,jingren zhou,none,0
676,andrei z. broder,m,4
677,vasant honavar,m,0
678,theo h?rder,none,0
679,tore risch,m,1
680,peter a. boncz,m,1
681,min wang,none,1
682,marek rusinkiewicz,m,1
683,belle l. tseng,f,0
684,gerhard lakemeyer,m,3
685,narain h. gehani,m,0
686,sophie cluet,f,0
687,katsumi tanaka,m,4
688,shuicheng yan,none,0
689,daniel p. miranker,none,1
690,yiming ma,none,0
691,shipeng yu,none,0
692,dana h. ballard,f,0
693,douglas b. lenat,m,0
694,bart goethals,m,0
695,henry tirri,m,0
696,anant jhingran,m,0
697,david poole,none,0
698,jaap kamps,m,0
699,jan paredaens,m,1
700,songting chen,none,1
701,stuart e. madnick,m,0
702,ding zhou,none,0
703,shuigeng zhou,none,0
704,francesco bonchi,m,0
705,nivio ziviani,none,4
706,geoffrey j. gordon,m,3
707,janet l. wiener,f,0
708,qiaozhu mei,none,0
709,bharat k. bhargava,m,0
710,zaiqing nie,none,4
711,anil k. jain,m,0
712,csaba szepesv¨¢ri,none,0
713,zachary g. ives,m,1
714,hwee tou ng,f,0
715,raghu krishnapuram,m,2
716,kristian j. hammond,m,0
717,martin a. fischler,m,0
718,jason tsong-li wang,none,2
719,calisto zuzarte,m,1
720,peter dadam,m,0
721,nada lavrac,f,0
722,ronald j. brachman,m,3
723,ian soboroff,none,4
724,yiannis aloimonos,m,0
725,brian d. davison,none,0
726,rosie jones,f,0
727,jan m. zytkow,m,0
728,bongki moon,none,0
729,gianluigi greco,m,0
730,ulrike sattler,f,0
731,abraham bookstein,m,0
732,david r. karger,none,4
733,hans-arno jacobsen,m,0
734,donald metzler,m,0
735,edleno silva de moura,f,0
736,cong yu,none,0
737,naphtali rishe,m,1
738,mauricio a. hern¨¢ndez,none,0
739,chung-min chen,none,0
740,robert balzer,none,0
741,michael p. georgeff,m,0
742,panagiotis g. ipeirotis,m,1
743,ying zhang,none,4
744,utkarsh srivastava,m,1
745,gregory m. provan,m,0
746,wee keong ng,m,2
747,bruce w. porter,m,0
748,harry zhang,none,3
749,alan bundy,none,3
750,xiaoyang sean wang,none,1
751,marc sebban,m,0
752,padraig cunningham,m,0
753,jamie callan,m,4
754,ronald parr,m,3
755,william perrizo,m,2
756,johannes f¨¹rnkranz,none,0
757,jean-fran?ois boulicaut,none,0
758,gal a. kaminka,m,0
759,daniel m. dias,none,0
760,jianzhong li,none,1
761,edward m. riseman,none,3
762,marcus fontoura,m,4
763,weixiong zhang,none,0
764,harry k. t. wong,m,0
765,sugato basu,m,2
766,baile shi,none,2
767,david w. cheung,none,0
768,sargur n. srihari,f,0
769,rayid ghani,none,2
770,xiaojun wan,none,0
771,marco a. casanova,m,0
772,evaggelia pitoura,f,1
773,lorenza saitta,f,3
774,christopher olston,m,0
775,shivakumar vaithyanathan,m,0
776,alexandros kalousis,m,0
777,simon kasif,none,0
778,katia p. sycara,f,3
779,zoran obradovic,m,0
780,xuanhui wang,none,0
781,michael benedikt,m,0
782,joachim w. schmidt,m,0
783,mihalis yannakakis,m,1
784,werner kie?ling,none,1
785,jing peng,none,0
786,marios hadjieleftheriou,m,0
787,martha e. pollack,f,0
788,shinichi morishita,m,0
789,tapio elomaa,m,0
790,qiankun zhao,none,0
791,qiming chen,none,0
792,tong zhang,none,3
793,neoklis polyzotis,m,1
794,ramesh jain,m,0
795,richard fikes,none,3
796,narendra ahuja,m,0
797,martin theobald,m,4
798,alejandro p. buchmann,m,1
799,foto n. afrati,m,0
800,didier dubois,m,3
801,glenn healey,m,0
802,j¨¹rgen schmidhuber,none,3
803,david a. mcallester,none,0
804,raymond reiter,m,3
805,roger king,none,1
806,torsten grust,m,0
807,carla p. gomes,f,0
808,king-lup liu,none,0
809,xueqi cheng,none,0
810,ming li,none,0
811,shaul dar,m,0
812,chin-wan chung,none,0
813,solomon eyal shimony,m,3
814,chun chen,none,0
815,maria e. orlowska,none,0
816,jens-peter dittrich,m,1
817,christopher meek,m,0
818,shalom tsur,m,1
819,melanie hilario,f,2
820,lawrence carin,m,0
821,abdul sattar,m,3
822,evimaria terzi,none,2
823,william r. swartout,m,0
824,shumeet baluja,none,0
825,j. ross quinlan,none,0
826,allen r. hanson,none,0
827,dimitris n. metaxas,m,0
828,david carmel,none,4
829,szymon jaroszewicz,m,0
830,xiaojin zhu,none,0
831,chinya v. ravishankar,m,1
832,peter kunath,m,0
833,andrey balmin,m,0
834,william c. regli,m,3
835,xiaowei xu,none,2
836,michael r. lyu,m,4
837,naren ramakrishnan,none,2
838,peter muth,m,0
839,jun zhang,none,1
840,li zhang,none,0
841,james m. rehg,m,3
842,edwin r. hancock,m,0
843,paul e. utgoff,none,3
844,chang-shing perng,m,0
845,wagner meira jr.,m,0
846,samuel kaski,m,0
847,erik sandewall,m,0
848,aijun an,none,0
849,bernhard nebel,m,0
850,kalervo j?rvelin,none,0
851,heng tao shen,none,0
852,anand rajaraman,m,1
853,rama chellappa,m,0
854,hisashi kashima,m,2
855,g¨¦rard g. medioni,none,3
856,dunja mladenic,f,2
857,ingrid zukerman,f,3
858,yunbo cao,none,4
859,anastasios kementsietsidis,m,1
860,martin pfeifle,m,0
861,ziv bar-yossef,m,0
862,zijian zheng,none,0
863,philip k. chan,none,2
864,jack minker,m,1
865,s. k. michael wong,none,4
866,attilio giordana,m,3
867,richard maclin,none,0
868,yutaka matsuo,m,0
869,p¨¢vel calado,none,0
870,felix naumann,m,2
871,donald d. chamberlin,m,0
872,stefano paraboschi,m,0
873,setsuo ohsuga,none,2
874,alex j. smola,none,3
875,wei zhang,none,4
876,dennis mcleod,m,0
877,david a. bell,none,2
878,shamim a. naqvi,m,0
879,vasilis vassalos,m,0
880,lois m. l. delcambre,f,0
881,jianliang xu,none,1
882,nelson mendon?a mattos,none,0
883,george p. copeland,none,0
884,james f. allen,none,0
885,kazumi saito,f,0
886,benjamin w. wah,none,3
887,lu¨ªs torgo,none,0
888,david page,none,0
889,haifeng jiang,none,0
890,byron dom,m,0
891,jeff g. schneider,m,3
892,sridhar rajagopalan,m,4
893,jian huang,none,0
894,mark s. fox,none,3
895,altigran soares da silva,m,0
896,torben bach pedersen,m,1
897,steffen staab,m,0
898,lizhu zhou,none,0
899,victor lavrenko,m,0
900,toon calders,m,2
901,xiaolei qian,none,1
902,luc segoufin,m,1
903,fran?ois bry,none,0
904,thomas neumann,none,0
905,amit singhal,m,0
906,alan l. yuille,none,0
907,bugra gedik,m,0
908,lyle h. ungar,m,2
909,stefan berchtold,m,1
910,wendy g. lehnert,none,3
911,roberta cochrane,f,0
912,jun wang,none,4
913,anil nori,m,1
914,wei li,none,2
915,daniel j. abadi,none,0
916,bertram lud?scher,none,0
917,kamesh munagala,m,0
918,emine yilmaz,f,4
919,wen-chi hou,none,0
920,dekang lin,none,4
921,donovan a. schneider,m,0
922,norman w. paton,m,1
923,takeshi fukuda,none,2
924,angela bonifati,f,1
925,wenliang du,none,2
926,xin zhang,none,0
927,dennis decoste,m,2
928,randy h. katz,m,0
929,yihong gong,none,4
930,k. l. kwok,none,0
931,toru ishida,m,0
932,hugo zaragoza,m,4
933,ashwin ram,none,3
934,yolanda gil,none,0
935,hwanjo yu,none,0
936,xiaoli li,none,0
937,douglas h. fisher,m,3
938,oliver spatscheck,m,0
939,jun'ichi tatemura,none,0
940,christian bessi¨¨re,none,0
941,zoubin ghahramani,none,0
942,matthias renz,m,2
943,sang kyun cha,none,0
944,vassilis plachouras,m,0
945,barbara j. grosz,f,3
946,jianhua feng,none,2
947,eljas soisalon-soininen,m,1
948,george forman,none,2
949,lenhart k. schubert,m,0
950,s. sathiya keerthi,none,0
951,a. prasad sistla,m,1
952,daniel p. huttenlocher,none,0
953,olivier d. faugeras,m,0
954,franz baader,m,3
955,yan zhang,none,0
956,paul clough,none,4
957,sanghyun park,none,1
958,evgeniy gabrilovich,m,0
959,christoph f. eick,m,2
960,hweehwa pang,none,0
961,diane kelly,none,4
962,berthold reinwald,m,1
963,agma j. m. traina,m,0
964,tao qin,none,0
965,terrance e. boult,m,3
966,rong zhou,none,0
967,val tannen,f,1
968,wang-pin hsiung,m,0
969,xintao wu,none,0
970,eyke h¨¹llermeier,none,0
971,aleksander kolcz,m,2
972,geoffrey e. hinton,m,0
973,radu sion,m,0
974,soumya ray,f,0
975,xiangji huang,none,4
976,sudarshan s. chawathe,m,1
977,aya soffer,f,4
978,roberto cipolla,m,0
979,miroslaw truszczynski,m,3
980,drew v. mcdermott,m,0
981,patrick e. o'neil,m,1
982,norman y. foo,m,3
983,ben carterette,none,0
984,roger s. barga,m,0
985,gerhard brewka,m,3
986,ulrich g¨¹ntzer,none,0
987,tat-seng chua,m,4
988,dawei song,none,4
989,sanjay chawla,m,2
990,lawrence birnbaum,m,3
991,jack a. orenstein,m,0
992,peter bruza,m,0
993,jussi rintanen,m,3
994,ramakant nevatia,m,3
995,corinna cortes,f,2
996,jay m. tenenbaum,none,0
997,thomas o. binford,none,0
998,ruzena bajcsy,f,0
999,vincent y. lum,m,1
1000,karen sparck jones,f,0
